Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR16124269_1	SRR16124269_1.fastq	Conventional base calls	Sanger / Illumina 1.9	34487215.0	0.0	98-150	45.0	68.81059470867935	145.9145967570881	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124269_2	SRR16124269_2.fastq	Conventional base calls	Sanger / Illumina 1.9	34487215.0	0.0	98-150	45.0	70.39059253311797	144.94582238664387	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR16124271_1	SRR16124271_1.fastq	Conventional base calls	Sanger / Illumina 1.9	35041841.0	0.0	98-150	46.0	66.85642807370638	146.9144586324674	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124271_2	SRR16124271_2.fastq	Conventional base calls	Sanger / Illumina 1.9	35041841.0	0.0	99-150	46.0	68.29666908119489	146.02853542997354	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124273_1	SRR16124273_1.fastq	Conventional base calls	Sanger / Illumina 1.9	40810164.0	0.0	98-150	48.0	44.866938088643025	143.0175633207453	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR16124273_2	SRR16124273_2.fastq	Conventional base calls	Sanger / Illumina 1.9	40810164.0	0.0	98-150	48.0	46.35980233234848	142.5195115118871	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR16124276_1	SRR16124276_1.fastq	Conventional base calls	Sanger / Illumina 1.9	53186011.0	0.0	98-150	48.0	63.96353194464226	145.6237645271047	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124276_2	SRR16124276_2.fastq	Conventional base calls	Sanger / Illumina 1.9	53186011.0	0.0	98-150	48.0	65.64483216357662	144.6773325790498	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124280_1	SRR16124280_1.fastq	Conventional base calls	Sanger / Illumina 1.9	50485710.0	0.0	98-150	49.0	76.96604036598181	145.27839584706246	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR16124280_2	SRR16124280_2.fastq	Conventional base calls	Sanger / Illumina 1.9	50485710.0	0.0	98-150	49.0	77.97875437213852	144.4569582957237	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR16124285_1	SRR16124285_1.fastq	Conventional base calls	Sanger / Illumina 1.9	37077925.0	0.0	98-150	49.0	77.79198239388793	145.26728877087916	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SRR16124285_2	SRR16124285_2.fastq	Conventional base calls	Sanger / Illumina 1.9	37077925.0	0.0	98-150	49.0	78.69044451639851	144.65761301367323	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SRR16124287_1	SRR16124287_1.fastq	Conventional base calls	Sanger / Illumina 1.9	38187537.0	0.0	98-150	47.0	58.25126540662578	140.53023037332835	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
SRR16124287_2	SRR16124287_2.fastq	Conventional base calls	Sanger / Illumina 1.9	38187537.0	0.0	99-150	47.0	59.039066830768746	140.09936995936658	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
SRR16124311_1	SRR16124311_1.fastq	Conventional base calls	Sanger / Illumina 1.9	30437805.0	0.0	98-150	50.0	69.43765590432486	143.28917003049332	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
SRR16124311_2	SRR16124311_2.fastq	Conventional base calls	Sanger / Illumina 1.9	30437805.0	0.0	99-150	50.0	69.9075990152349	143.19011025926474	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
SRR16124312_1	SRR16124312_1.fastq	Conventional base calls	Sanger / Illumina 1.9	33223650.0	0.0	98-150	48.0	70.24572719454324	142.9029462446179	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR16124312_2	SRR16124312_2.fastq	Conventional base calls	Sanger / Illumina 1.9	33223650.0	0.0	99-150	48.0	70.91614221249031	142.66020000812674	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR16124315_1	SRR16124315_1.fastq	Conventional base calls	Sanger / Illumina 1.9	43210522.0	0.0	98-150	48.0	55.77851603581229	146.80556777351592	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
SRR16124315_2	SRR16124315_2.fastq	Conventional base calls	Sanger / Illumina 1.9	43210522.0	0.0	99-150	49.0	57.76254996021554	146.06082152860824	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
